country,quarter
argentina,2023Q4
australia,2023Q4
austria,2023Q4
belgium,2023Q4
canada,2023Q4
china,2023Q4
colombia,2023Q4
czech_republic,2023Q4
denmark,2019Q3
finland,2023Q4
france,2023Q4
germany,2023Q4
greece,2023Q4
hungary,2023Q4
india,2023Q4
indonesia,2023Q4
ireland,2023Q4
israel,2023Q4
italy,2023Q4
japan,2023Q4
malaysia,2023Q4
mexico,2023Q4
netherlands,2023Q4
new_zealand,2023Q4
norway,2020Q1
poland,2023Q4
portugal,2023Q4
singapore,2023Q4
spain,2023Q4
sweden,2020Q3
switzerland,2023Q4
thailand,2023Q4
turkey,2023Q4
united_states,2023Q4
